time,open,high,low,close,EMA,MA_HL upper,MA_HL lower,Basis,Upper,Lower,Volume,Histogram,MACD,Signal,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2025-03-04T14:39:00-04:00,5805.5,5809.25,5805.5,5809,5804.118207,5802.066468,5796.754479,5801.5875,5809.733473,5793.441527,3727,0.797417071,1.05083006,0.253412989,61.71977778,48.89248426,NaN,NaN,NaN,NaN
2025-03-04T14:40:00-04:00,5809,5811.75,5808.25,5810.25,5805.344566,5802.412309,5797.165033,5801.75,5810.433317,5793.066683,3854,1.004522084,1.509065594,0.50454351,63.3490231,50.31807294,NaN,NaN,NaN,NaN
2025-03-04T14:41:00-04:00,5810.25,5813.5,5807.75,5813.25,5806.925652,5802.808298,5797.543068,5802.0625,5811.857748,5792.267252,3764,1.268525951,2.090200949,0.821674998,66.98121695,52.07860953,NaN,NaN,NaN,NaN
2025-03-04T14:42:00-04:00,5813,5817.5,5812.5,5815.25,5808.590522,5803.333001,5798.077244,5802.725,5814.081606,5791.368394,4984,1.487644507,2.681230632,1.193586125,69.17446386,54.09800837,NaN,NaN,NaN,NaN
2025-03-04T14:43:00-04:00,5815.5,5815.75,5812,5812.75,5809.422418,5803.776466,5798.574485,5803.3375,5815.4446,5791.2304,3741,1.376573134,2.914302542,1.537729408,63.49676013,55.71185693,NaN,NaN,NaN,NaN
2025-03-04T14:44:00-04:00,5812.75,5813,5807.75,5813,5810.137934,5804.105878,5798.902182,5803.925,5816.692243,5791.157757,4623,1.236728741,3.083640334,1.846911593,63.81659152,57.76577014,NaN,NaN,NaN,NaN
2025-03-04T14:45:00-04:00,5812.75,5813.5,5810,5813,5810.710347,5804.441382,5799.298533,5804.5375,5817.802374,5791.272626,2687,1.06740768,3.181171193,2.113763513,63.81659152,59.23319541,NaN,NaN,NaN,NaN
2025-03-04T14:46:00-04:00,5813.25,5814,5811.25,5811.75,5810.918278,5804.782761,5799.725371,5805.1875,5818.52811,5791.84689,2656,0.806282386,3.121616496,2.31533411,60.73099295,60.13336854,NaN,NaN,NaN,NaN
2025-03-04T14:47:00-04:00,5811.75,5819,5810.5,5817.75,5812.284622,5805.29052,5800.110179,5806.175,5820.150067,5792.199933,2921,0.96214498,3.518015335,2.555870355,68.58322813,61.20535285,NaN,NaN,NaN,NaN
2025-03-04T14:48:00-04:00,5817.5,5817.5,5813.5,5815.25,5812.877698,5805.726573,5800.588387,5807.0875,5820.929714,5793.245286,3150,0.826553863,3.589062684,2.762508821,62.93623119,61.72069754,NaN,NaN,NaN,NaN
2025-03-04T14:49:00-04:00,5815,5816.5,5811.25,5811.75,5812.652158,5806.111338,5800.969159,5807.825,5820.994188,5794.655812,2833,0.449691569,3.324623282,2.874931713,55.98610623,62.01615118,NaN,NaN,NaN,NaN
2025-03-04T14:50:00-04:00,5812,5813.25,5809,5811,5812.321727,5806.36629,5801.255975,5808.7375,5819.991916,5797.483084,3741,0.115834558,3.01972491,2.903890352,54.59480521,62.07495858,NaN,NaN,NaN,NaN
2025-03-04T14:51:00-04:00,5810.75,5815,5810.5,5814.75,5812.807381,5806.674637,5801.586118,5809.6375,5819.732641,5799.542359,2677,0.113349237,3.045576899,2.932227662,59.95351165,62.30405982,NaN,NaN,NaN,NaN
2025-03-04T14:52:00-04:00,5814.75,5819.5,5814,5817.25,5813.695905,5807.132685,5802.029471,5810.525,5820.001154,5801.048846,3232,0.238661132,3.230554077,2.991892945,63.08167774,62.73006985,NaN,NaN,NaN,NaN
2025-03-04T14:53:00-04:00,5817.25,5821.25,5816.25,5819,5814.756724,5807.636875,5802.537347,5811.325,5820.826447,5801.823553,5005,0.389097584,3.478264924,3.089167341,65.13473499,62.97399537,NaN,NaN,NaN,NaN
2025-03-04T14:54:00-04:00,5818.75,5820.25,5817.5,5818.5,5815.505379,5808.087344,5803.071728,5812.025,5821.474735,5802.575265,3248,0.402918918,3.592815988,3.18989707,64.0389634,63.02327682,NaN,NaN,NaN,NaN
2025-03-04T14:55:00-04:00,5818.5,5823,5817.75,5821.5,5816.704303,5808.619939,5803.595952,5812.9875,5822.176454,5803.798546,4325,0.552831496,3.88093644,3.328104944,67.56478328,63.06496013,NaN,NaN,NaN,NaN
2025-03-04T14:56:00-04:00,5821.5,5827.25,5821.5,5825.5,5818.463443,5809.285298,5804.235382,5814.0875,5823.726321,5804.448679,6177,0.842742413,4.38153296,3.538790547,71.56759318,63.23589794,NaN,NaN,NaN,NaN
2025-03-04T14:57:00-04:00,5825.75,5827.25,5825.25,5826.25,5820.020754,5809.926895,5804.985904,5815.125,5825.295423,5804.954577,3888,0.995875779,4.783635271,3.787759492,72.25887974,63.86176362,NaN,NaN,NaN,NaN
2025-03-04T14:58:00-04:00,5826.25,5830.25,5825.75,5827.25,5821.466603,5810.65272,5805.727479,5816.2,5826.718555,5805.681445,5261,1.068936736,5.123930412,4.054993676,73.19469195,64.53162794,NaN,NaN,NaN,NaN
