c,h,l,n,o,t,v,vw
532.22,532.4,532.12,752,532.33,2025-01-22 15:46:00+00:00,43585,532.287049
532.49,532.52,532.19,840,532.23,2025-01-22 15:47:00+00:00,64806,532.357329
532.43,532.54,532.3601,788,532.49,2025-01-22 15:48:00+00:00,46208,532.445426
532.4,532.51,532.26,809,532.42,2025-01-22 15:49:00+00:00,77424,532.376619
532.03,532.4,532.0,925,532.4,2025-01-22 15:50:00+00:00,51568,532.217345
531.9014,532.14,531.85,1099,532.03,2025-01-22 15:51:00+00:00,92213,531.940069
532.02,532.05,531.74,1040,531.9098,2025-01-22 15:52:00+00:00,113687,531.871734
531.975,532.1,531.93,632,532.06,2025-01-22 15:53:00+00:00,32160,532.026521
531.89,531.96,531.87,686,531.96,2025-01-22 15:54:00+00:00,103592,531.915321
531.83,531.9821,531.77,650,531.9072,2025-01-22 15:55:00+00:00,64737,531.924833
531.84,531.85,531.73,743,531.84,2025-01-22 15:56:00+00:00,78291,531.77883
531.96,532.005,531.85,704,531.87,2025-01-22 15:57:00+00:00,44435,531.935304
531.695,531.95,531.66,772,531.95,2025-01-22 15:58:00+00:00,47629,531.786342
531.45,531.71,531.42,1553,531.68,2025-01-22 15:59:00+00:00,173148,531.554431
531.35,531.57,531.33,1115,531.4406,2025-01-22 16:00:00+00:00,117247,531.413649
531.5086,531.6,531.33,868,531.376,2025-01-22 16:01:00+00:00,78430,531.456357
531.63,531.64,531.44,761,531.52,2025-01-22 16:02:00+00:00,62414,531.551537
531.62,531.89,531.54,1153,531.62,2025-01-22 16:03:00+00:00,109260,531.720074
531.81,531.93,531.61,673,531.61,2025-01-22 16:04:00+00:00,29680,531.780127
531.83,531.9484,531.76,622,531.8114,2025-01-22 16:05:00+00:00,60964,531.862562
532.23,532.23,531.83,968,531.83,2025-01-22 16:06:00+00:00,73456,532.107155
532.235,532.27,532.14,708,532.2,2025-01-22 16:07:00+00:00,42775,532.212632
532.25,532.27,532.16,595,532.26,2025-01-22 16:08:00+00:00,43785,532.216852
532.17,532.2401,532.11,607,532.2401,2025-01-22 16:09:00+00:00,111065,532.182424
531.67,532.14,531.62,823,532.14,2025-01-22 16:10:00+00:00,62624,531.781518
531.6001,531.79,531.6,685,531.65,2025-01-22 16:11:00+00:00,205095,531.68782
531.66,531.7161,531.4601,800,531.6,2025-01-22 16:12:00+00:00,79680,531.548243
531.8097,531.8097,531.57,585,531.665,2025-01-22 16:13:00+00:00,40819,531.66325
531.72,531.92,531.67,597,531.8,2025-01-22 16:14:00+00:00,40595,531.832714
531.82,531.854,531.67,528,531.725,2025-01-22 16:15:00+00:00,35403,531.760796
532.1537,532.1537,531.8,654,531.8,2025-01-22 16:16:00+00:00,52644,531.967718
532.05,532.26,532.01,890,532.16,2025-01-22 16:17:00+00:00,93034,532.20104
532.22,532.2399,532.03,517,532.05,2025-01-22 16:18:00+00:00,47738,532.179947
532.33,532.4301,532.23,958,532.23,2025-01-22 16:19:00+00:00,52251,532.359531
532.17,532.34,532.05,622,532.34,2025-01-22 16:20:00+00:00,44194,532.168152
532.29,532.32,532.16,535,532.18,2025-01-22 16:21:00+00:00,37684,532.251923
532.3294,532.33,532.2431,503,532.3,2025-01-22 16:22:00+00:00,34772,532.295381
532.38,532.4,532.2899,674,532.32,2025-01-22 16:23:00+00:00,61601,532.366102
532.41,532.44,532.35,535,532.37,2025-01-22 16:24:00+00:00,35185,532.39904
532.45,532.47,532.33,651,532.41,2025-01-22 16:25:00+00:00,76612,532.408883
532.7163,532.76,532.43,1221,532.46,2025-01-22 16:26:00+00:00,105653,532.630378
532.79,532.845,532.71,769,532.72,2025-01-22 16:27:00+00:00,70467,532.770747
532.765,532.817,532.65,676,532.8,2025-01-22 16:28:00+00:00,61738,532.741035
532.8,532.81,532.61,763,532.74,2025-01-22 16:29:00+00:00,45863,532.734516
532.81,532.845,532.76,496,532.8,2025-01-22 16:30:00+00:00,35223,532.807245
532.8,532.82,532.68,475,532.8,2025-01-22 16:31:00+00:00,138939,532.76404
532.84,532.89,532.752,642,532.81,2025-01-22 16:32:00+00:00,39790,532.843444
532.7337,532.87,532.71,646,532.85,2025-01-22 16:33:00+00:00,45524,532.784338
532.765,532.775,532.66,610,532.72,2025-01-22 16:34:00+00:00,41610,532.719997
532.87,532.88,532.735,596,532.76,2025-01-22 16:35:00+00:00,40035,532.790126
533.01,533.08,532.87,1446,532.88,2025-01-22 16:36:00+00:00,238486,532.996417
533.12,533.17,533.0,727,533.0073,2025-01-22 16:37:00+00:00,67172,533.086912
533.07,533.15,532.9801,713,533.1299,2025-01-22 16:38:00+00:00,93298,533.064952
533.08,533.1099,533.03,583,533.08,2025-01-22 16:39:00+00:00,39625,533.076373
533.11,533.18,533.04,676,533.1,2025-01-22 16:40:00+00:00,48943,533.130289
533.1663,533.175,533.1,558,533.1,2025-01-22 16:41:00+00:00,41156,533.145488
533.04,533.175,532.91,1017,533.17,2025-01-22 16:42:00+00:00,80576,533.020966
533.17,533.2161,533.0,646,533.04,2025-01-22 16:43:00+00:00,44328,533.143996
533.16,533.18,533.09,519,533.17,2025-01-22 16:44:00+00:00,34634,533.150476
533.06,533.18,533.04,571,533.16,2025-01-22 16:45:00+00:00,36964,533.14222
533.1274,533.13,532.99,596,533.07,2025-01-22 16:46:00+00:00,35809,533.06339
533.17,533.25,533.12,612,533.12,2025-01-22 16:47:00+00:00,82465,533.188327
533.07,533.24,533.06,652,533.19,2025-01-22 16:48:00+00:00,46098,533.192403
533.02,533.12,532.98,590,533.05,2025-01-22 16:49:00+00:00,52630,533.033967
533.17,533.23,533.05,552,533.055,2025-01-22 16:50:00+00:00,38708,533.151132
533.08,533.17,533.06,554,533.155,2025-01-22 16:51:00+00:00,31247,533.125434
533.2745,533.2745,533.09,595,533.09,2025-01-22 16:52:00+00:00,35344,533.195967
533.26,533.29,533.22,603,533.26,2025-01-22 16:53:00+00:00,42372,533.25986
533.2042,533.325,533.17,639,533.27,2025-01-22 16:54:00+00:00,56167,533.247588
533.27,533.29,533.13,714,533.22,2025-01-22 16:55:00+00:00,110419,533.243621
533.3599,533.41,533.24,609,533.26,2025-01-22 16:56:00+00:00,49743,533.33784
533.28,533.38,533.26,563,533.36,2025-01-22 16:57:00+00:00,46674,533.315589
533.4099,533.4099,533.27,556,533.28,2025-01-22 16:58:00+00:00,38339,533.350313
533.36,533.46,533.33,798,533.39,2025-01-22 16:59:00+00:00,175403,533.400743
533.41,533.46,533.33,738,533.36,2025-01-22 17:00:00+00:00,76510,533.427572
533.55,533.59,533.42,705,533.44,2025-01-22 17:01:00+00:00,60360,533.490163
533.58,533.6,533.52,653,533.54,2025-01-22 17:02:00+00:00,57304,533.54688
533.57,533.64,533.55,613,533.59,2025-01-22 17:03:00+00:00,151397,533.596076
533.7,533.7,533.57,608,533.58,2025-01-22 17:04:00+00:00,51301,533.637823
533.64,533.705,533.615,654,533.69,2025-01-22 17:05:00+00:00,58867,533.667235
533.755,533.785,533.635,572,533.65,2025-01-22 17:06:00+00:00,38545,533.690603
533.645,533.77,533.64,634,533.77,2025-01-22 17:07:00+00:00,53782,533.713642
533.75,533.76,533.6,566,533.64,2025-01-22 17:08:00+00:00,50102,533.692827
533.7,533.8,533.7,624,533.74,2025-01-22 17:09:00+00:00,46349,533.76083
533.7,533.82,533.68,746,533.725,2025-01-22 17:10:00+00:00,48317,533.750147
533.54,533.72,533.5,720,533.69,2025-01-22 17:11:00+00:00,57006,533.603709
533.54,533.64,533.48,645,533.54,2025-01-22 17:12:00+00:00,51001,533.558859
533.3299,533.5499,533.26,754,533.545,2025-01-22 17:13:00+00:00,50600,533.39771
533.1,533.3431,533.05,944,533.33,2025-01-22 17:14:00+00:00,78099,533.200973
533.2,533.285,533.11,705,533.11,2025-01-22 17:15:00+00:00,59564,533.223852
533.185,533.285,533.16,631,533.21,2025-01-22 17:16:00+00:00,75070,533.215711
533.33,533.34,533.16,580,533.185,2025-01-22 17:17:00+00:00,44649,533.261257
533.2499,533.34,533.2499,512,533.325,2025-01-22 17:18:00+00:00,38101,533.315058
533.26,533.28,533.16,558,533.26,2025-01-22 17:19:00+00:00,31781,533.232132
533.36,533.3836,533.2205,650,533.269,2025-01-22 17:20:00+00:00,41244,533.313333
533.33,533.37,533.3,538,533.36,2025-01-22 17:21:00+00:00,33185,533.331329
533.325,533.36,533.24,482,533.345,2025-01-22 17:22:00+00:00,32796,533.302045
533.18,533.325,533.14,565,533.325,2025-01-22 17:23:00+00:00,35545,533.223319
533.17,533.25,533.13,537,533.1899,2025-01-22 17:24:00+00:00,32350,533.188297
533.19,533.21,533.12,423,533.18,2025-01-22 17:25:00+00:00,35155,533.17634
533.235,533.24,533.16,447,533.19,2025-01-22 17:26:00+00:00,28346,533.208027
533.325,533.34,533.235,445,533.235,2025-01-22 17:27:00+00:00,25660,533.300515
533.24,533.335,533.18,506,533.32,2025-01-22 17:28:00+00:00,30942,533.262362
533.21,533.27,533.16,459,533.245,2025-01-22 17:29:00+00:00,25622,533.222238
533.24,533.2723,533.19,412,533.2,2025-01-22 17:30:00+00:00,78850,533.236252
533.22,533.2837,533.18,476,533.25,2025-01-22 17:31:00+00:00,33299,533.228921
533.231,533.255,533.1805,461,533.22,2025-01-22 17:32:00+00:00,28890,533.22837
533.2,533.24,533.135,581,533.23,2025-01-22 17:33:00+00:00,36253,533.203315
533.19,533.2198,533.12,502,533.2198,2025-01-22 17:34:00+00:00,239420,533.166462
533.33,533.36,533.16,727,533.16,2025-01-22 17:35:00+00:00,92747,533.295017
533.27,533.325,533.22,484,533.325,2025-01-22 17:36:00+00:00,26596,533.272591
533.2101,533.29,533.1614,423,533.28,2025-01-22 17:37:00+00:00,33849,533.239385
533.12,533.24,533.05,554,533.23,2025-01-22 17:38:00+00:00,42528,533.153927
533.175,533.19,533.03,633,533.12,2025-01-22 17:39:00+00:00,47047,533.115349
533.095,533.28,533.095,647,533.18,2025-01-22 17:40:00+00:00,59277,533.213575
533.0,533.11,533.0,574,533.11,2025-01-22 17:41:00+00:00,36900,533.031254
533.03,533.0727,532.9501,602,533.01,2025-01-22 17:42:00+00:00,71781,533.029666
532.8401,533.03,532.81,678,533.03,2025-01-22 17:43:00+00:00,62901,532.909125
532.76,532.85,532.73,691,532.85,2025-01-22 17:44:00+00:00,266612,532.787756
532.78,532.81,532.72,507,532.76,2025-01-22 17:45:00+00:00,31494,532.779459
532.9414,532.9414,532.78,629,532.78,2025-01-22 17:46:00+00:00,42153,532.864218
533.0399,533.05,532.93,622,532.9515,2025-01-22 17:47:00+00:00,30900,532.979362
533.07,533.17,533.03,803,533.03,2025-01-22 17:48:00+00:00,50624,533.102021
532.99,533.075,532.95,489,533.07,2025-01-22 17:49:00+00:00,29335,533.007498
533.14,533.16,533.02,626,533.02,2025-01-22 17:50:00+00:00,44516,533.091347
533.12,533.19,533.12,509,533.16,2025-01-22 17:51:00+00:00,29700,533.159656
533.12,533.22,533.095,624,533.12,2025-01-22 17:52:00+00:00,42947,533.143195
533.1999,533.1999,533.09,466,533.12,2025-01-22 17:53:00+00:00,23524,533.137697
533.21,533.265,533.18,589,533.18,2025-01-22 17:54:00+00:00,36168,533.226623
533.055,533.21,533.02,591,533.2,2025-01-22 17:55:00+00:00,28738,533.122025
532.92,533.06,532.87,603,533.06,2025-01-22 17:56:00+00:00,29777,532.965232
533.01,533.01,532.93,395,532.9315,2025-01-22 17:57:00+00:00,20211,532.983269
533.004,533.095,532.93,430,533.0001,2025-01-22 17:58:00+00:00,21945,533.026806
532.96,533.02,532.9187,430,533.02,2025-01-22 17:59:00+00:00,24440,532.981489
533.01,533.02,532.89,441,532.95,2025-01-22 18:00:00+00:00,34768,532.96932
532.89,533.0199,532.86,375,533.01,2025-01-22 18:01:00+00:00,22809,532.967438
532.86,533.07,532.8204,613,532.895,2025-01-22 18:02:00+00:00,43184,532.92778
532.92,532.97,532.85,297,532.86,2025-01-22 18:03:00+00:00,15536,532.92904
532.806,532.95,532.78,337,532.89,2025-01-22 18:04:00+00:00,94647,532.861447
532.83,532.87,532.77,351,532.84,2025-01-22 18:05:00+00:00,27298,532.813308
532.79,532.91,532.7,413,532.8,2025-01-22 18:06:00+00:00,25206,532.794191
532.725,532.81,532.72,327,532.81,2025-01-22 18:07:00+00:00,22177,532.756498
532.8099,532.84,532.71,298,532.78,2025-01-22 18:08:00+00:00,225573,532.776205
532.932,532.99,532.8,505,532.83,2025-01-22 18:09:00+00:00,36293,532.928588
532.94,533.03,532.93,406,532.97,2025-01-22 18:10:00+00:00,162397,532.996285
532.77,532.93,532.73,418,532.93,2025-01-22 18:11:00+00:00,36019,532.794199
532.8,532.83,532.72,346,532.79,2025-01-22 18:12:00+00:00,11084,532.786769
532.4999,532.79,532.46,745,532.79,2025-01-22 18:13:00+00:00,53693,532.590136
532.49,532.58,532.4701,461,532.509,2025-01-22 18:14:00+00:00,46542,532.517697
532.56,532.5874,532.4501,465,532.5,2025-01-22 18:15:00+00:00,33610,532.505932
532.47,532.57,532.44,452,532.5699,2025-01-22 18:16:00+00:00,28336,532.461263
532.47,532.52,532.4313,293,532.47,2025-01-22 18:17:00+00:00,13400,532.459091
532.38,532.4699,532.38,337,532.452,2025-01-22 18:18:00+00:00,14881,532.415793
532.2398,532.39,532.155,750,532.39,2025-01-22 18:19:00+00:00,188163,532.258757
532.2,532.25,532.14,519,532.235,2025-01-22 18:20:00+00:00,37758,532.1844
532.065,532.205,531.98,972,532.18,2025-01-22 18:21:00+00:00,101870,532.06265
532.02,532.07,531.94,569,532.06,2025-01-22 18:22:00+00:00,43814,531.998625
532.48,532.5,532.03,1043,532.03,2025-01-22 18:23:00+00:00,93678,532.32776
532.21,532.5,532.205,617,532.49,2025-01-22 18:24:00+00:00,57032,532.425613
532.005,532.21,531.97,503,532.21,2025-01-22 18:25:00+00:00,56401,532.058048
531.89,531.97,531.8201,473,531.97,2025-01-22 18:26:00+00:00,38142,531.882889
531.88,532.05,531.85,475,531.9,2025-01-22 18:27:00+00:00,33712,531.963849
531.8899,531.97,531.87,343,531.87,2025-01-22 18:28:00+00:00,20642,531.900037
531.98,531.99,531.85,367,531.875,2025-01-22 18:29:00+00:00,19332,531.919437
532.1699,532.18,531.9138,810,531.99,2025-01-22 18:30:00+00:00,58225,532.105489
532.11,532.2,531.9903,536,532.14,2025-01-22 18:31:00+00:00,15993,532.097282
531.9899,532.12,531.97,432,532.12,2025-01-22 18:32:00+00:00,17956,532.042855
532.055,532.09,531.98,389,532.0086,2025-01-22 18:33:00+00:00,15952,532.040299
532.2,532.2,531.991,414,532.04,2025-01-22 18:34:00+00:00,17698,532.102551
532.2756,532.28,532.15,468,532.17,2025-01-22 18:35:00+00:00,17132,532.213529
532.28,532.29,532.15,469,532.2534,2025-01-22 18:36:00+00:00,128999,532.264521
532.35,532.36,532.27,391,532.29,2025-01-22 18:37:00+00:00,17886,532.328233
532.325,532.37,532.28,508,532.35,2025-01-22 18:38:00+00:00,40881,532.312412
532.3187,532.3378,532.22,292,532.31,2025-01-22 18:39:00+00:00,61658,532.286868
532.36,532.36,532.2001,287,532.3,2025-01-22 18:40:00+00:00,10580,532.278298
532.43,532.46,532.3,458,532.33,2025-01-22 18:41:00+00:00,138511,532.421541
532.5686,532.5799,532.3901,371,532.41,2025-01-22 18:42:00+00:00,32859,532.514189
532.59,532.6,532.43,559,532.57,2025-01-22 18:43:00+00:00,37490,532.532985
532.58,532.63,532.53,319,532.59,2025-01-22 18:44:00+00:00,17062,532.579734
532.6591,532.6591,532.51,449,532.59,2025-01-22 18:45:00+00:00,34093,532.609263
532.4613,532.68,532.46,421,532.66,2025-01-22 18:46:00+00:00,27981,532.608118
532.54,532.61,532.47,318,532.47,2025-01-22 18:47:00+00:00,15758,532.540444
532.6041,532.6087,532.4825,255,532.56,2025-01-22 18:48:00+00:00,8623,532.556878
532.6299,532.65,532.59,334,532.61,2025-01-22 18:49:00+00:00,14657,532.621082
532.76,532.78,532.62,360,532.65,2025-01-22 18:50:00+00:00,23963,532.709079
532.67,532.79,532.67,331,532.75,2025-01-22 18:51:00+00:00,19459,532.736338
532.538,532.69,532.4701,473,532.6686,2025-01-22 18:52:00+00:00,34508,532.610417
532.5,532.53,532.44,325,532.53,2025-01-22 18:53:00+00:00,73097,532.478691
